Length of author name,Length of author email,Length of commit message,Number of tokens in commit message
11,37,146,31
9,24,80,13
13,22,33,4
13,18,29,5
12,37,40,8
12,37,115,19
9,24,128,23
12,37,44,9
15,24,30,6
11,32,14,2
11,32,88,14
11,37,18,3
11,37,13,4
11,30,234,42
9,17,31,4
12,37,38,6
11,37,35,5
11,32,34,6
11,37,19,3
11,37,64,14
11,37,28,4
11,32,112,19
12,37,82,13
11,37,32,4
12,37,34,5
11,32,33,8
12,37,25,5
9,24,50,8
12,37,30,5
16,17,34,4
16,17,43,5
9,14,11,3
9,14,62,13
9,14,101,22
19,16,59,11
9,14,71,10
9,14,34,5
9,14,73,9
9,14,58,10
9,14,1086,189
9,14,128,19
9,14,72,16
9,14,51,6
9,14,110,18
9,14,26,6
9,14,46,7
9,14,10,3
9,14,72,18
15,25,48,8
9,14,67,11
9,14,83,12
9,14,102,17
19,16,31,7
13,23,189,41
9,14,98,18
13,23,29,5
9,14,55,10
9,14,22,5
20,36,62,8
12,17,21,5
11,23,27,5
4,31,42,9
7,22,37,6
20,45,63,11
20,45,102,19
11,19,318,59
13,14,24,5
20,45,405,68
14,18,37,4
20,45,970,196
4,31,92,14
20,45,218,38
8,21,24,4
4,31,23,3
5,19,162,32
18,20,38,6
4,31,27,5
11,19,27,4
20,45,30,6
13,23,33,7
14,18,247,46
17,31,42,6
10,20,81,10
4,31,30,5
20,45,136,28
9,21,242,40
15,22,61,10
15,17,91,15
4,31,42,10
20,45,24,5
15,18,32,7
12,26,148,29
17,19,522,95
20,45,41,6
11,17,41,7
17,31,17,2
4,31,30,5
11,21,919,171
7,22,24,3
8,21,44,11
15,18,16,3
4,15,167,23
5,21,76,21
5,16,133,13
4,15,159,19
11,21,84,16
5,16,41,9
5,16,120,11
11,21,34,6
18,20,121,12
11,21,13,2
18,28,53,11
18,28,46,7
10,16,101,21
5,16,140,15
15,18,87,18
18,28,109,23
5,16,122,13
5,16,66,12
9,16,24,7
18,20,129,14
20,23,26,3
18,20,146,18
18,28,17,3
5,16,168,19
5,16,15,2
5,16,73,14
9,16,48,8
5,16,36,8
20,23,46,5
18,28,27,4
13,17,80,16
11,21,39,11
11,21,67,16
11,21,63,13
11,21,57,12
18,28,52,14
11,21,19,3
11,18,46,7
11,21,29,3
5,16,70,17
11,21,24,4
5,16,58,11
14,16,55,12
11,21,39,8
18,28,53,8
20,23,44,9
5,16,79,14
4,15,178,23
5,16,130,13
4,15,132,11
18,20,10,2
16,14,32,4
7,20,47,6
4,15,120,11
5,16,151,18
9,16,39,8
18,28,58,11
5,16,183,24
5,16,129,12
5,16,71,17
14,26,173,33
5,16,91,20
11,21,72,18
5,16,121,11
5,16,124,14
5,16,148,17
5,16,121,10
6,19,28,5
9,16,38,9
11,21,54,11
4,15,238,31
4,15,111,10
18,20,119,11
16,22,20,6
5,16,140,17
5,16,181,18
6,28,57,11
5,16,133,13
5,16,118,21
5,16,33,6
11,21,679,113
4,15,326,50
5,16,199,24
6,16,35,6
6,16,38,7
17,16,35,5
17,16,5,1
6,16,26,5
17,16,56,11
6,16,6,1
17,16,158,23
17,16,5,1
6,16,5,1
17,16,37,6
6,16,16,4
17,16,25,3
6,16,46,7
17,16,64,9
17,16,46,6
6,16,43,6
6,16,12,2
6,16,41,8
6,16,49,8
17,16,40,6
6,16,25,7
17,16,38,6
17,16,9,3
6,16,30,5
6,16,24,4
6,16,59,8
6,16,12,1
